,temperature,replicate,combination,richness,inv_community_CV,resist
255,21,1,"Spiro, Colp, Para",3,2.218935997,-0.01130439
256,21,1,"Spiro, Colp, Tetra",3,2.115069114,-0.000562092
257,21,1,"Spiro, Loxo, Dexio",3,2.711043812,-0.007616546
258,21,1,"Spiro, Loxo, Para",3,2.259849782,-0.011507289
259,21,1,"Spiro, Tetra, Dexio",3,1.5585337,7.71207E-05
260,21,1,Tetra,1,0.431060076,-0.008022685
261,21,1,"Tetra, Colp",2,1.576270955,-0.005412747
262,21,1,"Tetra, Colp, Dexio, Loxo",4,1.483217592,-0.020768682
263,21,1,"Tetra, Colp, Dexio, Loxo, Para",5,1.881706543,-0.019426853
264,21,1,"Tetra, Colp, Dexio, Loxo, Para, Spiro",6,1.744178669,-0.017467105
265,21,1,"Tetra, Colp, Dexio, Loxo, Spiro",5,3.459402265,0.000694648
266,21,1,"Tetra, Colp, Dexio, Para",4,1.755676584,-0.009524218
267,21,1,"Tetra, Colp, Dexio, Para, Spiro",5,2.082414235,-0.006516867
268,21,1,"Tetra, Colp, Dexio, Spiro",4,2.983607957,-0.006193433
269,21,1,"Tetra, Colp, Loxo, Para",4,2.167388991,-0.023476811
270,21,1,"Tetra, Colp, Loxo, Para, Spiro",5,2.399996877,-0.017780279
271,21,1,"Tetra, Colp, Loxo, Spiro",4,3.038265144,0.000974632
272,21,1,"Tetra, Colp, Para, Spiro",4,1.812359628,-0.010873786
273,21,1,"Tetra, Dexio",2,1.808500323,-0.003380329
274,21,1,"Tetra, Dexio, Loxo, Para",4,1.733754626,-0.02048745
275,21,1,"Tetra, Dexio, Loxo, Para, Spiro",5,3.294338888,-0.007890158
276,21,1,"Tetra, Dexio, Loxo, Spiro",4,3.124558458,-0.006127234
277,21,1,"Tetra, Dexio, Para, Spiro",4,1.389279063,-0.010800965
278,21,1,"Tetra, Loxo",2,2.512409591,-0.006898921
279,21,1,"Tetra, Loxo, Para",3,1.566126278,-0.017629459
280,21,1,"Tetra, Loxo, Para, Spiro",4,2.270967296,-0.011520843
281,21,1,"Tetra, Para",2,1.120269549,-0.008620523
282,21,1,"Tetra, Para, Dexio",3,1.016009024,-0.007112381
283,21,1,"Tetra, Spiro",2,1.862164727,0.005335914
284,21,2,Colp,1,1.483674965,-0.004210157
285,21,2,"Colp, Dexio",2,1.679159127,-0.005133097
286,21,2,"Colp, Dexio, Loxo, Para",4,1.845460338,-0.009716474
287,21,2,"Colp, Dexio, Loxo, Para, Spiro",5,2.508146309,-0.010120547
288,21,2,"Colp, Dexio, Loxo, Spiro",4,2.44760605,-0.011006928
289,21,2,"Colp, Dexio, Para, Spiro",4,1.590125067,-0.008262878
290,21,2,"Colp, Loxo",2,2.105532207,-0.008597207
291,21,2,"Colp, Loxo, Dexio",3,1.842094147,-0.003792488
292,21,2,"Colp, Loxo, Para, Spiro",4,2.031407244,-0.01503464
293,21,2,"Colp, Para",2,1.281294659,-0.012208413
